Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage
"An early innovator in cloud-based archiving, Sonian preserves, protects and presents the world’s information. More than 19,000 customers in 40 countries trust Sonian’s secure proprietary SaaS platform and cloud search engine to retain and retrieve valuable data and protect intellectual property. Sonian manages more than 20 billion objects in the cloud; every day, 17 million new documents are uploaded to Sonian’s email archive, which is integrated with the world’s 5 largest public clouds.",Application Platforms,Sonian,,,Archive.  Search.  Act. ,,,"$5,600,000","Sep 15, 2009","$9,000,000","Dec  8, 2010","$13,600,000","May  1, 2012",,,Series C
,Mobile,Tatara-Systems,"$7,000,000","Jun 22, 2010",,,,,,,,"$6,000,000","Jun  2, 2005","$8,000,000","Jun 13, 2007",Series C
"Leading brands rely on Conductor Searchlight for web presence management and SEO, allowing them to engage customers throughout their buying journey. The results are clear: more traffic, more conversions, more revenue.",Android,Conductor,"$1,000,000","Mar 28, 2011",,,,"$2,600,000","Dec 26, 2006","$10,000,000","Apr 29, 2009","$20,000,000","Oct 31, 2012",,,
,Clean Technology,Pionetics,,,,,,,,,,"$6,400,000","Feb 10, 2005",,,Series C
"MobileAware has created an On-device CRM platform for mobile network operators to engage with their customers for all of their service and sales needs. This platform effectively: increases call deflection, revenue and customer retention; reduces time to market, and creates a unified On-Device CRM user experience for the telco.Using MobileAware's application, consumers can check their usage, view and pay their bill, add or remove features and devices, change their plan, or even live chat with an agentTo complement this unparalleled user experience that MobileAware, the platform includes push notifications and alerts and a comprehensive analytics package to… · More make the most out of using the application.",Mobile,MobileAware,"$6,960,000","May 17, 2006",,,,,,Unknown,"Aug 11, 2008",,,,,
,Hardware + Software,CoAdna-Photonics,,,,,,,,"$2,600,000","Feb 14, 2007",,,,,Series B
,,Nexenta-Systems,"$3,900,000","Oct  1, 2012",,,,,,,,"$21,000,000","Jan 18, 2012","$24,000,000","Feb 27, 2013",
"Sumo Logic immediately transforms machine logs into new sources of operations, security and compliance intelligence.Starting with log data, the single-largest enterprise data set, Sumo Logic Log Management and Analytics Service helps customers achieve unprecedented operational efficiencies, a stronger security posture and more streamlined compliance with regulatory mandates by providing real-time actionable insights from raw machine data.Sumo Logic enables IT operations teams to perform rapid root cause analysis of critical IT infrastructure; DevOps teams to quickly analyze and troubleshoot production application issues; and IT Security teams to uncover… · More security incidents buried in terabytes of log data.",Personal Finance,Sumo-Logic,"$80,000,000","Jun  1, 2015",,,,,,"$15,000,000","Jan 31, 2012","$30,000,000","Nov 28, 2012","$30,000,000","May 20, 2014",Series C
"What inspires one user to action is not the same as the next! Dynamic Creative Optimization helps you win consumer engagement and conversion by giving you the power to easily deliver what consumers crave most in their interactions with brands – relevance. Cognitive Match provides the world’s best Dynamic Creative Optimization solution for Display Ads and Brand Sites that delivers relevance by giving you the power to talk to your audiences as individuals, not as general media targets.",Data Visualization,Cognitive-Match,,,Dynamic Creative Optimization for Display Ads,,,"$1,650,000","Jul  1, 2009","$2,500,000","Feb  4, 2010","$6,000,000","May 18, 2011",,,Series A
,Mobile,Azaire-Networks,,,,,,,,,,"$21,000,000","Aug 25, 2006",,,Series C
,Online Shopping,VirtualLogix,"$1,288,979","Jan 12, 2010",,,,"$12,000,000","Jan  1, 2004","$16,000,000","Jul 11, 2007",Unknown,"Apr 21, 2008",,,Series B
,,Genapsys,,,,,,"$8,500,000","Mar 22, 2013","$37,000,000","Nov 14, 2013",,,,,
"Efficient, scalable, and multi-screen, Flite is the only SaaS ad platform powering both mobile and display advertising. As the leader in Paid Media Publishing, Flite allows advertisers to scale content marketing and web app functionality into their digital advertising. Marketers use the self-service Flite Platform to reduce the complexity and cost of delivering differentiated ad products that engage audiences. Agile marketers respond with agility to performance metrics and daily events, by updating your creatives with fresh content and functionality.Flite customers enjoy more richly interactive ads, faster ad builds and shorter optimization cycles. The Flite… · More Platform serves, updates, and measures application-rich advertising in real-time.",Health Care,Flite,"$15,000,000","Apr  1, 2013",The first real-time design tool for advertising in a multi-screen world.,,,,,,,"$23,000,000","Mar 18, 2014","$9,000,000","Jun 12, 2013",Series A
,-,Metaboli,,,,,,,,,,"$7,910,000","Mar 31, 2008",,,Series C
,Curated Web,Blazent,"$3,000,000","Jan 15, 2014",,,,"$4,200,000","Jan  1, 2002","$9,200,000","Mar 10, 2003",,,,,-
,Health Care,Zurex-Pharma,"$846,500","Jul 17, 2013",,,,"$6,200,000","May 22, 2012","$4,099,999","Jul  2, 2014",,,,,Series A
,Health Care,Corepair,,,,,,,,"$1,200,000","Feb 11, 2008","$4,500,000","Apr 30, 2010",,,Series B
,-,Wheeler-Real-Estate-Investment-Trust,,,,,,,,"$18,000,000","Sep 18, 2014",,,,,Series B
,Web Hosting,Rheonix,"$6,000,000","Feb  9, 2012",,"$14,000,000","Jun 11, 2014","$12,600,000","May 24, 2010",,,"$12,000,000","Dec 19, 2013",,,Series A
,Biotechnology,BioConsortia,,,,,,,,"$15,000,000","Apr  7, 2014",,,,,Series B
,Mobile,Revver,,,,,,"$4,000,000","Nov  1, 2005","$8,700,000","Apr  1, 2006",,,,,-
,Latin America,Applied-Proteomics,"$22,500,000","Apr 27, 2012",,,,,,,,"$28,000,000","Aug 20, 2013",,,Series C
,Networking,Project-Playlist,,,,,,"$3,000,000","Sep  1, 2007","$20,000,000","Nov 10, 2008",,,,,Series A
,Web CMS,Genesis-Media,"$4,000,000","Apr 10, 2014",Trade attention to targeted ads for access to premium content and services,,,"$3,000,000","Sep  1, 2012","$6,000,000","Apr 10, 2014",,,,,Series D
"BroadSoft's is the global leader in Voice Over IP (VoIP) communication services, enabling telecommunication service providers to deliver hosted telephony, multimedia and unified communications and mobile services.",Office Space,BroadSoft,"$1,500,000","Nov  2, 2009",,,,,,,,"$32,500,000","Sep  9, 2002","$10,000,000","Jul 17, 2007",IPO
,Curated Web,ClickandBuy,,,,,,,,"$23,600,000","Jan  1, 2006","$6,400,000","Nov  1, 2006",,,Series B
,Education,Presidium-Learning,"$7,500,000","Jul  2, 2008",,,,,,"$2,000,000","Jun 19, 2009",,,,,-
,Web Hosting,Ocarina-Networks,"$3,000,000","Nov 23, 2009",,,,,,"$20,000,000","Feb 25, 2009",,,,,Series B
,Hardware + Software,Modiv-Media,,,,,,"$8,000,000","Dec 14, 2007","$1,200,000","Jul  9, 2009",,,,,-
,Hardware + Software,Zyme-Solutions,Unknown,"May 20, 2013",,,,"$3,040,000","Sep 12, 2005","$3,000,000","May  1, 2014",,,,,Series B
,Biotechnology,Cogentus-Pharmaceuticals,,,,,,,,,,"$62,500,000","Dec 21, 2007",,,-
,News,Chenal-Media,,,,,,,,"$7,000,000","Aug 24, 2012",,,,,Series B
PrimeRevenue is the acknowledged leader in working capital finance solutions helping companies worldwide optimize cash flow.,Finance,PrimeRevenue,"$1,600,000","Oct 14, 2010",,,,,,"$10,000,000","Sep 19, 2005",,,,,Series B
,Biotechnology,GeoVax,"$2,200,000","Apr  2, 2012",,,,,,"$1,700,000","Dec 19, 2013",,,,,-
,Health Care,Curexo-Technology,,,,,,,,,,"$13,200,000","Jun  1, 2010",,,Series C
,Biotechnology,Gradalis,,,,,,,,"$24,000,000","Jan  3, 2013",,,,,Series B
,Health Care,Chunyu,,,,,,"$3,000,000","Nov  1, 2011","$1,000,000","Mar  1, 2013","$50,000,000","Aug 19, 2014",,,-
,,Predictive-Biosciences,,,,,,"$10,000,000","Dec 18, 2006","$21,800,000","Oct 16, 2008","$25,000,000","Jun 18, 2010",,,
,Software,Optasite,,,,,,,,,,"$60,000,000","Mar 17, 2006",,,-
,-,TouchPal,,,,,,"$5,000,000","Jun  1, 2010",Unknown,"Jan  1, 2011","$20,000,000","Sep 17, 2014",,,Series B
,Health Care,Cornerstone-Pharmaceuticals,"$3,300,000","Mar  7, 2014",,,,,,"$6,100,000","Jan 26, 2010",,,,,-
,Video,Rivulet-Communications,"$1,600,000","Oct  1, 2009",,,,,,,,"$11,500,000","Feb 24, 2009",,,-
,Enterprise Software,AlephCloud-Systems,,,,,,"$2,000,000","May  4, 2012","$7,500,000","May 22, 2013",,,,,Series A
,Enterprise Software,VMTurbo,,,,,,,,"$10,000,000","Nov 29, 2011",,,,,Series B
,Biotechnology,Fulcrum-SP-Materials,,,,,,"$3,300,000","Jun  1, 2012","$2,000,000","Jun 20, 2014",,,,,Series A
"cVidya is a global provider of Revenue Analytics, Revenue Assurance, Telecom Fraud Management, Sales Performance Management and Marketing Analytics solutions for Telecom operators",Customer Support Tools,cVidya,"$3,000,000","Feb  1, 2011",,,,,,,,"$12,000,000","Feb  1, 2008","$10,000,000","Jan  1, 2010",Series C
"Cut 70% of ERP Upgrade and Testing Efforts. Cloud-based automation for SAP Upgrades, SAP Support Packages, SAP Testing &amp; Oracle EBS R12 Upgrades.",-,Panaya,"$6,000,000","Sep 21, 2010",,,,,,"$5,000,000","Aug 10, 2009","$7,000,000","Jun  7, 2010","$16,000,000","Jan  8, 2013",Series C
"Greenlight Planet is on a mission to revolutionize rural energy access for the 1.5 billion off-grid villagers who use  dangerous oil lamps for light. In 6 years we've sold >3 million solar lights to off-grid families in Asia and Africa—the latest 1.5 million customers acquired in the past year. Our products were recognized recently as 'the best solar lamp' in the Economist.Our products change lives, but they're expensive by village standards and so require more ""push"" in the absence of consumer ""pull.""  We've built a massive sales force of trusted, village sales agents who evangelize our solar-powered lanterns in… · More their community and build trust in our brand. At $35, our Sun King™ solar lanterns cost the equivalent of 1 months' wages for the average consumer.  But in thousands of villages where our sellers operate, >30% of households have purchased our product and given up kerosene lighting forever.",Ventures for Good,Greenlight-Planet,,,Off-grid village lighting driven by game-changing rural distribution,,,,,"$10,000,000","Jan 30, 2015",,,,,Series B
,Health Care,CardiAQ-Valve-Technologies,"$750,000","May 13, 2009",,,,"$6,500,000","Jan 12, 2010","$37,300,000","Nov 29, 2012",,,,,-
Financial market data on-demand. Xignite financial Web services help build smarter websites and applications in minutes with zero up-front investment.,Stock Exchanges,Xignite,"$675,000","Oct 28, 2010",,,,"$2,200,000","Jun  7, 2006","$10,000,000","Sep 13, 2011",,,,,-
,Auctions,uCirrus,"$1,900,000","Jul 23, 2012",,,,"$1,700,000","Jun  8, 2010","$4,000,000","Oct 27, 2010","$5,500,000","Jan 11, 2013",,,-
,Social Media,Eurekster,,,,,,"$1,350,000","Dec  1, 2004","$5,500,000","Mar 13, 2007",,,,,Series B
,Biotechnology,ChemoCentryx,"$33,000,000","Jun 17, 2004",,,,,,,,"$17,700,000","Aug 24, 2006","$29,800,000","Mar 22, 2007",Series C
,Biotechnology,JHL-Biotech,,,,,,,,"$35,000,000","Jun 19, 2014",,,,,Series B
,Biotechnology,NeuroTherapeutics-Pharma,"$12,000,000","Dec 15, 2011",,,,,,"$43,000,000","May 20, 2010",,,,,Series B
,Career Management,Vurv-Technology,,,,,,,,,,"$5,000,000","Jun 16, 2006",,,Series C
"Hailo is the evolution of the hail - a free smartphone app which puts people just two taps away from a licensed vehicle, and lets drivers get more passengers when they want them.A Hailo hail is accepted around the world every two seconds from Hailo’s global network of over 50,000 drivers and more than a million passengers. Launched in November 2011, Hailo is available in London, New York, all across Ireland, Toronto, Chicago, Boston, Madrid, Barcelona, Washington DC, Montreal and Osaka. Hailo has carried over ten million passengers and grown to annualized sales of well over $100M.Founded by three taxi drivers and three internet entrepreneurs, Hailo has… · More raised over $100M from the best investors anywhere, including Union Square Ventures, Accel Partners, Wellington Partners, Atomico Ventures and Sir Richard Branson.Hailo is available as a free download from the iTunes App Store and Google Play. Simply search for ""Hailo"".",Mobile Analytics,Hailo,"$26,500,000","Jan 20, 2014",The Taxi Magnet,"$3,000,000","Apr  1, 2011","$17,000,000","Mar 29, 2012","$30,600,000","Dec 31, 2012",,,,,Series B
,Parking,Glyde,Unknown,"Nov  1, 2009",,,,"$6,000,000","Jan  1, 2007","$21,000,000","Dec  1, 2010",,,,,
,Software,Jobfox,"$2,000,000","Dec 24, 2009",,,,"$7,000,000","Apr  1, 2005","$13,000,000","May  1, 2006","$20,000,000","Jan  1, 2008",,,Series A
"Zolo uses TDLAS to measure temperature, CO, and O2 for combustion monitoring, optimization and improved efficiency",Fashion,Zolo-Technologies,"$1,500,000","Sep 25, 2009",,,,,,,,"$5,000,000","Jul 15, 2005","$12,500,000","Jan  6, 2007",Series B
,Semiconductors,Roamware,Unknown,"Jun  9, 2008",,,,,,,,"$14,000,000","Oct 15, 2005",,,Series B
,-,Blackwave,,,,,,"$5,000,000","Dec  1, 2006","$16,000,000","Oct  1, 2007","$7,000,000","Sep 30, 2009",,,Series B
"Ruby Ribbon is a new social commerce apparel company, supported by a nationwide network of independent personal stylists",Fashion,Ruby-Ribbon,"$3,000,000","May  1, 2012",,,,,,"$8,500,000","Apr 30, 2013",,,,,-
"Hawaii Oceanic Technology, Inc. offers technology for domesticating seafood production in the open ocean.  Our patented fish farming system called the Oceansphere is designed to operate in deep ocean waters, a much healthier environment for raising seafood, which promotes faster growth and lower food conversion ratios.  The Oceansphere is highly automated, self-positioning, submersible and un-tethered to the ocean floor allowing for reduced labor, rapid deployment and minimal environmental impact. A centralized cloud based command, control and monitoring capability further reduces costs and labor, providing operators with critical environmental and fish health information,… · More emergency response to predation, poaching and piracy and regulatory compliance data.  The U.N. Food Agriculture Organization claims the $100 Billion farmed seafood industry must double to meet global demand.  The market for sea-farming equipment is expected to be at least $75 Billion.",Agriculture,Hawaii-Oceanic-Technology,,,High tech fish farming,,,"$1,000,000","Dec 31, 2007","$1,000,000","Dec 31, 2009",,,,,Series B
,,GrubHub,"$50,000,000","Sep 20, 2011",,,,"$1,100,000","Nov  1, 2007","$2,000,000","Mar 23, 2009","$11,000,000","Nov  9, 2010","$20,000,000","Mar  9, 2011",
,-,Purfresh,"$1,200,000","Apr  1, 2013",,,,"$10,600,000","Apr 26, 2005","$7,000,000","Dec 14, 2006","$25,000,000","Feb 28, 2008","$10,000,000","Mar 12, 2010",-
